"band;""bandname"""
"http://dbpedia.org/resource/Youth_Brigade_(band);""Youth Brigade (band)"""
"http://dbpedia.org/resource/Short_Stack;""Short Stack"""
"http://dbpedia.org/resource/Glifted;""Glifted"""
"http://dbpedia.org/resource/B.U.G._Mafia;""B.U.G. Mafia"""
"http://dbpedia.org/resource/Bilocate;""Bilocate"""
"http://dbpedia.org/resource/Clan_of_Xymox;""Clan of Xymox"""
"http://dbpedia.org/resource/Harold_Melvin_&_the_Blue_Notes;""Harold Melvin & the Blue Notes"""
"http://dbpedia.org/resource/Rockapella;""Rockapella"""
"http://dbpedia.org/resource/The_Rocket_Summer;""The Rocket Summer"""
"http://dbpedia.org/resource/Abscess_(band);""Abscess (band)"""
"http://dbpedia.org/resource/Nightnoise;""Nightnoise"""
"http://dbpedia.org/resource/Orthrelm;""Orthrelm"""
"http://dbpedia.org/resource/Jump5;""Jump5"""
"http://dbpedia.org/resource/Panic!_at_the_Disco;""Panic! at the Disco"""
"http://dbpedia.org/resource/Deaf_Havana;""Deaf Havana"""
"http://dbpedia.org/resource/Bomfunk_MC's;""Bomfunk MC's"""
"http://dbpedia.org/resource/The_Fresh_&_Onlys;""The Fresh & Onlys"""
"http://dbpedia.org/resource/Gym_Class_Heroes;""Gym Class Heroes"""
"http://dbpedia.org/resource/Carnifex_(band);""Carnifex (band)"""
"http://dbpedia.org/resource/King_Kobra;""King Kobra"""
"http://dbpedia.org/resource/Mutemath;""Mutemath"""
"http://dbpedia.org/resource/Disappear_Fear;""Disappear Fear"""
"http://dbpedia.org/resource/The_U-Men;""The U-Men"""
"http://dbpedia.org/resource/Perfume_(Japanese_band);""Perfume (Japanese band)"""
"http://dbpedia.org/resource/That_Handsome_Devil;""That Handsome Devil"""
"http://dbpedia.org/resource/Illinois_(band);""Illinois (band)"""
"http://dbpedia.org/resource/Furslide;""Furslide"""
"http://dbpedia.org/resource/Jewelry_(band);""Jewelry (band)"""
"http://dbpedia.org/resource/Laughing_Hyenas;""Laughing Hyenas"""
"http://dbpedia.org/resource/Attack_Attack!;""Attack Attack!"""
"http://dbpedia.org/resource/Coma_(band);""Coma (band)"""
"http://dbpedia.org/resource/Heavenly_(French_band);""Heavenly (French band)"""
"http://dbpedia.org/resource/Justice_(band);""Justice (band)"""
"http://dbpedia.org/resource/Traffic_(band);""Traffic (band)"""
"http://dbpedia.org/resource/The_Be_Good_Tanyas;""The Be Good Tanyas"""
"http://dbpedia.org/resource/Leño;""Leño"""
"http://dbpedia.org/resource/Radical_Face;""Radical Face"""
"http://dbpedia.org/resource/Gomez_(band);""Gomez (band)"""
"http://dbpedia.org/resource/The_Bouncing_Souls;""The Bouncing Souls"""
"http://dbpedia.org/resource/Thy_Serpent;""Thy Serpent"""
"http://dbpedia.org/resource/Between_the_Buried_and_Me;""Between the Buried and Me"""
"http://dbpedia.org/resource/Mis-Teeq;""Mis-Teeq"""
"http://dbpedia.org/resource/Stellastarr;""Stellastarr"""
"http://dbpedia.org/resource/The_Trash_Can_Sinatras;""The Trash Can Sinatras"""
"http://dbpedia.org/resource/Jawbreaker_(band);""Jawbreaker (band)"""
"http://dbpedia.org/resource/Serú_Girán;""Serú Girán"""
"http://dbpedia.org/resource/A_Life_Once_Lost;""A Life Once Lost"""
"http://dbpedia.org/resource/Cartel_(band);""Cartel (band)"""
"http://dbpedia.org/resource/Tiamat_(band);""Tiamat (band)"""
"http://dbpedia.org/resource/Windy_&_Carl;""Windy & Carl"""
"http://dbpedia.org/resource/Sir_Sly;""Sir Sly"""
"http://dbpedia.org/resource/Neocolours;""Neocolours"""
"http://dbpedia.org/resource/The_Birthday_Massacre;""The Birthday Massacre"""
"http://dbpedia.org/resource/Full_Tilt_Boogie_Band;""Full Tilt Boogie Band"""
"http://dbpedia.org/resource/SETI_(band);""SETI (band)"""
"http://dbpedia.org/resource/Died_Pretty;""Died Pretty"""
